price18,date
64750,2025-06-10T22:32:02
64750,2025-06-10T22:33:02
64750,2025-06-10T22:34:05
64750,2025-06-10T22:35:02
64740,2025-06-10T22:36:02
64740,2025-06-10T22:37:02
64740,2025-06-10T22:38:03
64740,2025-06-10T22:38:03
64750,2025-06-10T22:39:02
64740,2025-06-10T22:39:32
64740,2025-06-10T22:41:03
64740,2025-06-10T22:42:02
64740,2025-06-10T22:43:02
64740,2025-06-10T22:44:02
64740,2025-06-10T22:45:03
64740,2025-06-10T22:46:02
64740,2025-06-10T22:47:02
64750,2025-06-10T22:48:03
64740,2025-06-10T22:48:31
64740,2025-06-10T22:50:02
64740,2025-06-10T22:51:03
64740,2025-06-10T22:52:02
64740,2025-06-10T22:53:02
64740,2025-06-10T22:54:02
64740,2025-06-10T22:55:02
64740,2025-06-10T22:56:02
64740,2025-06-10T22:57:02
64740,2025-06-10T22:58:04
64740,2025-06-10T22:59:02
64740,2025-06-10T23:00:02
64740,2025-06-10T23:01:04
64750,2025-06-10T23:02:02
64760,2025-06-10T23:03:03
64770,2025-06-10T23:04:02
64780,2025-06-10T23:05:02
64780,2025-06-10T23:06:02
64780,2025-06-10T23:07:02
64790,2025-06-10T23:08:03
64790,2025-06-10T23:09:02
64780,2025-06-10T23:10:02
64780,2025-06-10T23:11:02
64780,2025-06-10T23:12:02
64780,2025-06-10T23:13:02
64770,2025-06-10T23:14:03
64780,2025-06-10T23:15:02
64770,2025-06-10T23:16:03
64780,2025-06-10T23:17:02
64780,2025-06-10T23:18:03
64780,2025-06-10T23:19:02
64780,2025-06-10T23:20:02
64780,2025-06-10T23:21:02
64780,2025-06-10T23:22:02
64780,2025-06-10T23:23:02
64780,2025-06-10T23:24:01
64770,2025-06-10T23:25:02
64760,2025-06-10T23:26:02
64750,2025-06-10T23:27:03
64740,2025-06-10T23:28:04
64750,2025-06-10T23:29:02
64750,2025-06-10T23:30:03
64750,2025-06-10T23:31:02
64750,2025-06-10T23:32:02
64750,2025-06-10T23:33:05
64750,2025-06-10T23:34:02
64750,2025-06-10T23:35:02
64750,2025-06-10T23:36:02
64750,2025-06-10T23:37:02
64750,2025-06-10T23:38:03
64750,2025-06-10T23:39:02
64750,2025-06-10T23:40:02
64750,2025-06-10T23:41:02
64750,2025-06-10T23:42:03
64750,2025-06-10T23:43:02
64750,2025-06-10T23:44:02
64750,2025-06-10T23:45:03
64750,2025-06-10T23:46:03
64760,2025-06-10T23:47:01
64750,2025-06-10T23:48:03
64750,2025-06-10T23:49:02
64740,2025-06-10T23:50:02
64740,2025-06-10T23:51:02
64740,2025-06-10T23:52:02
64740,2025-06-10T23:53:01
64730,2025-06-10T23:54:01
64730,2025-06-10T23:54:32
64730,2025-06-10T23:56:05
64740,2025-06-10T23:57:02
64740,2025-06-10T23:57:32
64740,2025-06-10T23:59:02
